"rn","cond","pict1","pict2","chan.a","chan.b","cov"
"1",1,"crop_31.fit","crop_32.fit","Red","Green R",-27.4403008156158
"2",1,"crop_31.fit","crop_32.fit","Red","Green B",30.5422002917278
"3",1,"crop_31.fit","crop_32.fit","Red","Blue",-35.0290057200024
"4",1,"crop_31.fit","crop_32.fit","Green R","Green B",-48.5857952636241
"5",1,"crop_31.fit","crop_32.fit","Green R","Blue",49.2875857236681
"6",1,"crop_31.fit","crop_32.fit","Green B","Blue",5.29907775461266
"7",1,"crop_31.fit","crop_33.fit","Red","Green R",-65.2246523322947
"8",1,"crop_31.fit","crop_33.fit","Red","Green B",60.3927165429497
"9",1,"crop_31.fit","crop_33.fit","Red","Blue",31.3489325589565
"10",1,"crop_31.fit","crop_33.fit","Green R","Green B",-21.4815679794416
"11",1,"crop_31.fit","crop_33.fit","Green R","Blue",46.8266677931024
"12",1,"crop_31.fit","crop_33.fit","Green B","Blue",-53.5589617508248
"13",1,"crop_31.fit","crop_34.fit","Red","Green R",-39.4280990347019
"14",1,"crop_31.fit","crop_34.fit","Red","Green B",15.6681405791789
"15",1,"crop_31.fit","crop_34.fit","Red","Blue",28.5336460624389
"16",1,"crop_31.fit","crop_34.fit","Green R","Green B",-63.6061751588465
"17",1,"crop_31.fit","crop_34.fit","Green R","Blue",-4.42868898154936
"18",1,"crop_31.fit","crop_34.fit","Green B","Blue",0.33351852700391
"19",1,"crop_31.fit","crop_35.fit","Red","Green R",-116.149476111926
"20",1,"crop_31.fit","crop_35.fit","Red","Green B",-37.4454499633431
"21",1,"crop_31.fit","crop_35.fit","Red","Blue",-24.8641098484848
"22",1,"crop_31.fit","crop_35.fit","Green R","Green B",-29.4022731091153
"23",1,"crop_31.fit","crop_35.fit","Green R","Blue",106.595388104839
"24",1,"crop_31.fit","crop_35.fit","Green B","Blue",-51.1217276087488
"25",1,"crop_31.fit","crop_36.fit","Red","Green R",-57.5373766648338
"26",1,"crop_31.fit","crop_36.fit","Red","Green B",47.8788241538368
"27",1,"crop_31.fit","crop_36.fit","Red","Blue",-15.1906874312683
"28",1,"crop_31.fit","crop_36.fit","Green R","Green B",-15.9815436369746
"29",1,"crop_31.fit","crop_36.fit","Green R","Blue",-17.4104302220797
"30",1,"crop_31.fit","crop_36.fit","Green B","Blue",25.5654716901882
"31",1,"crop_32.fit","crop_33.fit","Red","Green R",19.7378822244624
"32",1,"crop_32.fit","crop_33.fit","Red","Green B",19.6035671737537
"33",1,"crop_32.fit","crop_33.fit","Red","Blue",-37.4677724828935
"34",1,"crop_32.fit","crop_33.fit","Green R","Green B",-41.6668337228128
"35",1,"crop_32.fit","crop_33.fit","Green R","Blue",-11.0934368890518
"36",1,"crop_32.fit","crop_33.fit","Green B","Blue",33.3673478739003
"37",1,"crop_32.fit","crop_34.fit","Red","Green R",4.89264303824536
"38",1,"crop_32.fit","crop_34.fit","Red","Green B",-25.1941049227151
"39",1,"crop_32.fit","crop_34.fit","Red","Blue",-9.72620165872434
"40",1,"crop_32.fit","crop_34.fit","Green R","Green B",-89.0888022742546
"41",1,"crop_32.fit","crop_34.fit","Green R","Blue",-67.8101650323803
"42",1,"crop_32.fit","crop_34.fit","Green B","Blue",-31.9640695640885
"43",1,"crop_32.fit","crop_35.fit","Red","Green R",-51.1945488147605
"44",1,"crop_32.fit","crop_35.fit","Red","Green B",-6.89023456592131
"45",1,"crop_32.fit","crop_35.fit","Red","Blue",-13.7015527630132
"46",1,"crop_32.fit","crop_35.fit","Green R","Green B",-10.019202865347
"47",1,"crop_32.fit","crop_35.fit","Green R","Blue",50.0678037939883
"48",1,"crop_32.fit","crop_35.fit","Green B","Blue",-11.7690572878482
"49",1,"crop_32.fit","crop_36.fit","Red","Green R",1.46913184261975
"50",1,"crop_32.fit","crop_36.fit","Red","Green B",41.9722419507576
"51",1,"crop_32.fit","crop_36.fit","Red","Blue",97.4739812438905
"52",1,"crop_32.fit","crop_36.fit","Green R","Green B",-132.898456592131
"53",1,"crop_32.fit","crop_36.fit","Green R","Blue",77.8379307184751
"54",1,"crop_32.fit","crop_36.fit","Green B","Blue",-55.1972694434262
"55",1,"crop_33.fit","crop_34.fit","Red","Green R",-5.29347373686461
"56",1,"crop_33.fit","crop_34.fit","Red","Green B",-35.0614489781891
"57",1,"crop_33.fit","crop_34.fit","Red","Blue",-6.10247319464809
"58",1,"crop_33.fit","crop_34.fit","Green R","Green B",-68.3883411038306
"59",1,"crop_33.fit","crop_34.fit","Green R","Blue",1.83892637310606
"60",1,"crop_33.fit","crop_34.fit","Green B","Blue",44.9913293087121
"61",1,"crop_33.fit","crop_35.fit","Red","Green R",-71.493318708761
"62",1,"crop_33.fit","crop_35.fit","Red","Green B",70.3546372876955
"63",1,"crop_33.fit","crop_35.fit","Red","Blue",23.6145041009897
"64",1,"crop_33.fit","crop_35.fit","Green R","Green B",-57.2200726073741
"65",1,"crop_33.fit","crop_35.fit","Green R","Blue",-25.1729837755071
"66",1,"crop_33.fit","crop_35.fit","Green B","Blue",-57.4781132583394
"67",1,"crop_33.fit","crop_36.fit","Red","Green R",-46.4107901087488
"68",1,"crop_33.fit","crop_36.fit","Red","Green B",26.925162664956
"69",1,"crop_33.fit","crop_36.fit","Red","Blue",94.6028684017595
"70",1,"crop_33.fit","crop_36.fit","Green R","Green B",-79.2405393717925
"71",1,"crop_33.fit","crop_36.fit","Green R","Blue",50.0586873014418
"72",1,"crop_33.fit","crop_36.fit","Green B","Blue",-39.3341256567693
"73",1,"crop_34.fit","crop_35.fit","Red","Green R",-46.2251611375855
"74",1,"crop_34.fit","crop_35.fit","Red","Green B",10.5355610031769
"75",1,"crop_34.fit","crop_35.fit","Red","Blue",-26.9591791147361
"76",1,"crop_34.fit","crop_35.fit","Green R","Green B",-63.6518530822336
"77",1,"crop_34.fit","crop_35.fit","Green R","Blue",-32.2365791865225
"78",1,"crop_34.fit","crop_35.fit","Green B","Blue",19.878317257759
"79",1,"crop_34.fit","crop_36.fit","Red","Green R",6.92107885813783
"80",1,"crop_34.fit","crop_36.fit","Red","Green B",31.9790731152248
"81",1,"crop_34.fit","crop_36.fit","Red","Blue",31.4527603402981
"82",1,"crop_34.fit","crop_36.fit","Green R","Green B",-102.764481381354
"83",1,"crop_34.fit","crop_36.fit","Green R","Blue",11.7498338984604
"84",1,"crop_34.fit","crop_36.fit","Green B","Blue",-41.0615816684995
"85",1,"crop_35.fit","crop_36.fit","Red","Green R",-52.4439607771261
"86",1,"crop_35.fit","crop_36.fit","Red","Green B",-28.8267198191593
"87",1,"crop_35.fit","crop_36.fit","Red","Blue",36.0560669064638
"88",1,"crop_35.fit","crop_36.fit","Green R","Green B",-33.8774437927664
"89",1,"crop_35.fit","crop_36.fit","Green R","Blue",90.3641174853372
"90",1,"crop_35.fit","crop_36.fit","Green B","Blue",-94.779180413001
"91",2,"crop_91.fit","crop_92.fit","Red","Green R",-6.65692156570748
"92",2,"crop_91.fit","crop_92.fit","Red","Green B",-2.95455500061095
"93",2,"crop_91.fit","crop_92.fit","Red","Blue",-9.82842570106305
"94",2,"crop_91.fit","crop_92.fit","Green R","Green B",-8.75684834738514
"95",2,"crop_91.fit","crop_92.fit","Green R","Blue",-14.5723486757698
"96",2,"crop_91.fit","crop_92.fit","Green B","Blue",2.9149598301564
"97",2,"crop_91.fit","crop_93.fit","Red","Green R",-5.65232990820503
"98",2,"crop_91.fit","crop_93.fit","Red","Green B",1.13934200879765
"99",2,"crop_91.fit","crop_93.fit","Red","Blue",-1.91092614018206
"100",2,"crop_91.fit","crop_93.fit","Green R","Green B",-7.84126038611926
"101",2,"crop_91.fit","crop_93.fit","Green R","Blue",-9.0841729097935
"102",2,"crop_91.fit","crop_93.fit","Green B","Blue",-0.629658479960899
"103",2,"crop_91.fit","crop_94.fit","Red","Green R",3.96640214519184
"104",2,"crop_91.fit","crop_94.fit","Red","Green B",-2.33761903943671
"105",2,"crop_91.fit","crop_94.fit","Red","Blue",3.41844605327468
"106",2,"crop_91.fit","crop_94.fit","Green R","Green B",-6.43724273353495
"107",2,"crop_91.fit","crop_94.fit","Green R","Blue",7.72897574535679
"108",2,"crop_91.fit","crop_94.fit","Green B","Blue",1.29346132697947
"109",2,"crop_91.fit","crop_95.fit","Red","Green R",4.03200986681329
"110",2,"crop_91.fit","crop_95.fit","Red","Green B",0.472452918804985
"111",2,"crop_91.fit","crop_95.fit","Red","Blue",1.87469738972385
"112",2,"crop_91.fit","crop_95.fit","Green R","Green B",0.5225363514174
"113",2,"crop_91.fit","crop_95.fit","Green R","Blue",-0.432528409090909
"114",2,"crop_91.fit","crop_95.fit","Green B","Blue",13.5720517931329
"115",2,"crop_91.fit","crop_96.fit","Red","Green R",-6.16335990957967
"116",2,"crop_91.fit","crop_96.fit","Red","Green B",-4.25437209799609
"117",2,"crop_91.fit","crop_96.fit","Red","Blue",2.81044950513196
"118",2,"crop_91.fit","crop_96.fit","Green R","Green B",-12.0854325131354
"119",2,"crop_91.fit","crop_96.fit","Green R","Blue",-11.1924248151882
"120",2,"crop_91.fit","crop_96.fit","Green B","Blue",13.2736584914162
"121",2,"crop_92.fit","crop_93.fit","Red","Green R",-4.91655402309384
"122",2,"crop_92.fit","crop_93.fit","Red","Green B",-3.94008507453568
"123",2,"crop_92.fit","crop_93.fit","Red","Blue",-7.61370032227517
"124",2,"crop_92.fit","crop_93.fit","Green R","Green B",-8.05358397482893
"125",2,"crop_92.fit","crop_93.fit","Green R","Blue",-5.09061029905914
"126",2,"crop_92.fit","crop_93.fit","Green B","Blue",-15.5755571083822
"127",2,"crop_92.fit","crop_94.fit","Red","Green R",8.39082546737537
"128",2,"crop_92.fit","crop_94.fit","Red","Green B",-13.5093751909213
"129",2,"crop_92.fit","crop_94.fit","Red","Blue",-0.356421447336266
"130",2,"crop_92.fit","crop_94.fit","Green R","Green B",-7.07918938630254
"131",2,"crop_92.fit","crop_94.fit","Green R","Blue",-10.4179706592131
"132",2,"crop_92.fit","crop_94.fit","Green B","Blue",-3.26240320289589
"133",2,"crop_92.fit","crop_95.fit","Red","Green R",2.79884053488514
"134",2,"crop_92.fit","crop_95.fit","Red","Green B",-7.73820297226295
"135",2,"crop_92.fit","crop_95.fit","Red","Blue",1.27777523216031
"136",2,"crop_92.fit","crop_95.fit","Green R","Green B",-18.9380202605694
"137",2,"crop_92.fit","crop_95.fit","Green R","Blue",-12.4017862597752
"138",2,"crop_92.fit","crop_95.fit","Green B","Blue",-0.323917094330401
"139",2,"crop_92.fit","crop_96.fit","Red","Green R",6.05525405898705
"140",2,"crop_92.fit","crop_96.fit","Red","Green B",-1.13514221728372
"141",2,"crop_92.fit","crop_96.fit","Red","Blue",-12.042645615683
"142",2,"crop_92.fit","crop_96.fit","Green R","Green B",6.3582041750672
"143",2,"crop_92.fit","crop_96.fit","Green R","Blue",-5.55869637020406
"144",2,"crop_92.fit","crop_96.fit","Green B","Blue",-5.16212798982771
"145",2,"crop_93.fit","crop_94.fit","Red","Green R",1.40831195014663
"146",2,"crop_93.fit","crop_94.fit","Red","Green B",1.84682574230205
"147",2,"crop_93.fit","crop_94.fit","Red","Blue",-6.46745364430596
"148",2,"crop_93.fit","crop_94.fit","Green R","Green B",-7.29337350317693
"149",2,"crop_93.fit","crop_94.fit","Green R","Blue",2.72588663856305
"150",2,"crop_93.fit","crop_94.fit","Green B","Blue",0.483131624969453
"151",2,"crop_93.fit","crop_95.fit","Red","Green R",-12.2659171096041
"152",2,"crop_93.fit","crop_95.fit","Red","Green B",10.4074069831378
"153",2,"crop_93.fit","crop_95.fit","Red","Blue",-6.72489193853861
"154",2,"crop_93.fit","crop_95.fit","Green R","Green B",-1.49612907044233
"155",2,"crop_93.fit","crop_95.fit","Green R","Blue",-16.7712691112231
"156",2,"crop_93.fit","crop_95.fit","Green B","Blue",-1.26679439302297
"157",2,"crop_93.fit","crop_96.fit","Red","Green R",4.53901047394306
"158",2,"crop_93.fit","crop_96.fit","Red","Green B",-1.67464860932918
"159",2,"crop_93.fit","crop_96.fit","Red","Blue",-3.9080522971652
"160",2,"crop_93.fit","crop_96.fit","Green R","Green B",-7.25833896551197
"161",2,"crop_93.fit","crop_96.fit","Green R","Blue",-12.798326001955
"162",2,"crop_93.fit","crop_96.fit","Green B","Blue",4.10722140762463
"163",2,"crop_94.fit","crop_95.fit","Red","Green R",3.10425449046921
"164",2,"crop_94.fit","crop_95.fit","Red","Green B",2.94987551930596
"165",2,"crop_94.fit","crop_95.fit","Red","Blue",-3.302579728739
"166",2,"crop_94.fit","crop_95.fit","Green R","Green B",7.33135586586632
"167",2,"crop_94.fit","crop_95.fit","Green R","Blue",-4.89277572855572
"168",2,"crop_94.fit","crop_95.fit","Green B","Blue",10.3890794919966
"169",2,"crop_94.fit","crop_96.fit","Red","Green R",-2.03723776958089
"170",2,"crop_94.fit","crop_96.fit","Red","Green B",-5.62965179771505
"171",2,"crop_94.fit","crop_96.fit","Red","Blue",-4.5018438225501
"172",2,"crop_94.fit","crop_96.fit","Green R","Green B",4.14726047012463
"173",2,"crop_94.fit","crop_96.fit","Green R","Blue",1.43057003375489
"174",2,"crop_94.fit","crop_96.fit","Green B","Blue",0.809828056268328
"175",2,"crop_95.fit","crop_96.fit","Red","Green R",-2.8570505330523
"176",2,"crop_95.fit","crop_96.fit","Red","Green B",8.13496561507209
"177",2,"crop_95.fit","crop_96.fit","Red","Blue",1.75421124679252
"178",2,"crop_95.fit","crop_96.fit","Green R","Green B",1.09645630956745
"179",2,"crop_95.fit","crop_96.fit","Green R","Blue",-9.13196958241691
"180",2,"crop_95.fit","crop_96.fit","Green B","Blue",14.400686075727
"181",3,"crop_204.fit","crop_205.fit","Red","Green R",1.12418094758065
"182",3,"crop_204.fit","crop_205.fit","Red","Green B",-0.912505536717986
"183",3,"crop_204.fit","crop_205.fit","Red","Blue",-4.99794520940249
"184",3,"crop_204.fit","crop_205.fit","Green R","Green B",2.1428816898827
"185",3,"crop_204.fit","crop_205.fit","Green R","Blue",1.97033273765885
"186",3,"crop_204.fit","crop_205.fit","Green B","Blue",-1.1346902110826
"187",3,"crop_204.fit","crop_206.fit","Red","Green R",1.60956401209677
"188",3,"crop_204.fit","crop_206.fit","Red","Green B",-1.79551325375733
"189",3,"crop_204.fit","crop_206.fit","Red","Blue",1.72869031799853
"190",3,"crop_204.fit","crop_206.fit","Green R","Green B",-1.6287554221652
"191",3,"crop_204.fit","crop_206.fit","Green R","Blue",0.480178549608993
"192",3,"crop_204.fit","crop_206.fit","Green B","Blue",-0.802580683345552
"193",3,"crop_204.fit","crop_207.fit","Red","Green R",3.56938462243402
"194",3,"crop_204.fit","crop_207.fit","Red","Green B",-2.59334142839687
"195",3,"crop_204.fit","crop_207.fit","Red","Blue",-1.23991935483871
"196",3,"crop_204.fit","crop_207.fit","Green R","Green B",-5.43377369333456
"197",3,"crop_204.fit","crop_207.fit","Green R","Blue",-3.68336846285435
"198",3,"crop_204.fit","crop_207.fit","Green B","Blue",3.07610123411535
"199",3,"crop_204.fit","crop_208.fit","Red","Green R",3.76860623625367
"200",3,"crop_204.fit","crop_208.fit","Red","Green B",0.507732313049853
"201",3,"crop_204.fit","crop_208.fit","Red","Blue",-2.89308311186461
"202",3,"crop_204.fit","crop_208.fit","Green R","Green B",5.7463896780303
"203",3,"crop_204.fit","crop_208.fit","Green R","Blue",-1.77870454163612
"204",3,"crop_204.fit","crop_208.fit","Green B","Blue",2.43071656586022
"205",3,"crop_204.fit","crop_209.fit","Red","Green R",0.798585654936461
"206",3,"crop_204.fit","crop_209.fit","Red","Green B",-2.99476875610948
"207",3,"crop_204.fit","crop_209.fit","Red","Blue",-1.5241935483871
"208",3,"crop_204.fit","crop_209.fit","Green R","Green B",-0.836014823130499
"209",3,"crop_204.fit","crop_209.fit","Green R","Blue",-2.68166544477028
"210",3,"crop_204.fit","crop_209.fit","Green B","Blue",-0.822504276637341
"211",3,"crop_205.fit","crop_206.fit","Red","Green R",-2.47150690371457
"212",3,"crop_205.fit","crop_206.fit","Red","Green B",-2.61346739827713
"213",3,"crop_205.fit","crop_206.fit","Red","Blue",0.699265525720919
"214",3,"crop_205.fit","crop_206.fit","Green R","Green B",-1.76736238391984
"215",3,"crop_205.fit","crop_206.fit","Green R","Blue",3.85154340786901
"216",3,"crop_205.fit","crop_206.fit","Green B","Blue",0.937199776240225
"217",3,"crop_205.fit","crop_207.fit","Red","Green R",-2.84066518893573
"218",3,"crop_205.fit","crop_207.fit","Red","Green B",-1.1018942257759
"219",3,"crop_205.fit","crop_207.fit","Red","Blue",1.76807308849585
"220",3,"crop_205.fit","crop_207.fit","Green R","Green B",1.31645254841764
"221",3,"crop_205.fit","crop_207.fit","Green R","Blue",0.217700410098974
"222",3,"crop_205.fit","crop_207.fit","Green B","Blue",-0.404142706042278
"223",3,"crop_205.fit","crop_208.fit","Red","Green R",-0.214288646291544
"224",3,"crop_205.fit","crop_208.fit","Red","Green B",-0.162639181634897
"225",3,"crop_205.fit","crop_208.fit","Red","Blue",-0.888160205889541
"226",3,"crop_205.fit","crop_208.fit","Green R","Green B",1.35980170912757
"227",3,"crop_205.fit","crop_208.fit","Green R","Blue",3.18244249450147
"228",3,"crop_205.fit","crop_208.fit","Green B","Blue",-1.90017488391984
"229",3,"crop_205.fit","crop_209.fit","Red","Green R",-4.01077273490958
"230",3,"crop_205.fit","crop_209.fit","Red","Green B",1.96752953552664
"231",3,"crop_205.fit","crop_209.fit","Red","Blue",-1.91614688340054
"232",3,"crop_205.fit","crop_209.fit","Green R","Green B",-4.95514208363881
"233",3,"crop_205.fit","crop_209.fit","Green R","Blue",5.98192070656158
"234",3,"crop_205.fit","crop_209.fit","Green B","Blue",2.83152196740591
"235",3,"crop_206.fit","crop_207.fit","Red","Green R",3.35351228387708
"236",3,"crop_206.fit","crop_207.fit","Red","Green B",-0.0989821984970675
"237",3,"crop_206.fit","crop_207.fit","Red","Blue",-3.11568590389785
"238",3,"crop_206.fit","crop_207.fit","Green R","Green B",-1.20255509989003
"239",3,"crop_206.fit","crop_207.fit","Green R","Blue",-4.20317941257331
"240",3,"crop_206.fit","crop_207.fit","Green B","Blue",-1.43274033174487
"241",3,"crop_206.fit","crop_208.fit","Red","Green R",1.41986889433651
"242",3,"crop_206.fit","crop_208.fit","Red","Green B",1.52283943899682
"243",3,"crop_206.fit","crop_208.fit","Red","Blue",-0.775197317173754
"244",3,"crop_206.fit","crop_208.fit","Green R","Green B",0.72031985047043
"245",3,"crop_206.fit","crop_208.fit","Green R","Blue",-1.77827019565616
"246",3,"crop_206.fit","crop_208.fit","Green B","Blue",-1.72076756094208
"247",3,"crop_206.fit","crop_209.fit","Red","Green R",-0.148593100867546
"248",3,"crop_206.fit","crop_209.fit","Red","Green B",0.747527569037146
"249",3,"crop_206.fit","crop_209.fit","Red","Blue",-0.236546729899804
"250",3,"crop_206.fit","crop_209.fit","Green R","Green B",-4.69946312927664
"251",3,"crop_206.fit","crop_209.fit","Green R","Blue",4.44124014846041
"252",3,"crop_206.fit","crop_209.fit","Green B","Blue",-2.649945778348
"253",3,"crop_207.fit","crop_208.fit","Red","Green R",3.00586701185239
"254",3,"crop_207.fit","crop_208.fit","Red","Green B",-4.19788707386364
"255",3,"crop_207.fit","crop_208.fit","Red","Blue",-2.62902748503177
"256",3,"crop_207.fit","crop_208.fit","Green R","Green B",-1.16755158693793
"257",3,"crop_207.fit","crop_208.fit","Green R","Blue",-1.10976161565249
"258",3,"crop_207.fit","crop_208.fit","Green B","Blue",4.09725006491325
"259",3,"crop_207.fit","crop_209.fit","Red","Green R",1.92582707111437
"260",3,"crop_207.fit","crop_209.fit","Red","Green B",-0.0306619623655914
"261",3,"crop_207.fit","crop_209.fit","Red","Blue",-2.25238269794721
"262",3,"crop_207.fit","crop_209.fit","Green R","Green B",-3.18319186064272
"263",3,"crop_207.fit","crop_209.fit","Green R","Blue",-0.0110199780058651
"264",3,"crop_207.fit","crop_209.fit","Green B","Blue",-0.40440188172043
"265",3,"crop_208.fit","crop_209.fit","Red","Green R",0.0329577911168133
"266",3,"crop_208.fit","crop_209.fit","Red","Green B",0.824555726111926
"267",3,"crop_208.fit","crop_209.fit","Red","Blue",-2.00267958058407
"268",3,"crop_208.fit","crop_209.fit","Green R","Green B",2.47774191639174
"269",3,"crop_208.fit","crop_209.fit","Green R","Blue",-0.579902954698192
"270",3,"crop_208.fit","crop_209.fit","Green B","Blue",-3.81312860841276
"271",4,"crop_37.fit","crop_38.fit","Red","Green R",57.7822542460899
"272",4,"crop_37.fit","crop_38.fit","Red","Green B",-58.0560239491691
"273",4,"crop_37.fit","crop_38.fit","Red","Blue",11.7322309536901
"274",4,"crop_37.fit","crop_38.fit","Green R","Green B",75.0746578690127
"275",4,"crop_37.fit","crop_38.fit","Green R","Blue",33.1148162573314
"276",4,"crop_37.fit","crop_38.fit","Green B","Blue",-82.0326857282502
"277",4,"crop_37.fit","crop_39.fit","Red","Green R",-32.4383820564516
"278",4,"crop_37.fit","crop_39.fit","Red","Green B",-23.4592917583089
"279",4,"crop_37.fit","crop_39.fit","Red","Blue",6.58086281158358
"280",4,"crop_37.fit","crop_39.fit","Green R","Green B",64.0279752222324
"281",4,"crop_37.fit","crop_39.fit","Green R","Blue",10.2940794347202
"282",4,"crop_37.fit","crop_39.fit","Green B","Blue",-9.05754988773827
"283",4,"crop_37.fit","crop_40.fit","Red","Green R",-2.8227219269306
"284",4,"crop_37.fit","crop_40.fit","Red","Green B",-8.81064424486804
"285",4,"crop_37.fit","crop_40.fit","Red","Blue",0.637824184384164
"286",4,"crop_37.fit","crop_40.fit","Green R","Green B",-14.5829094880254
"287",4,"crop_37.fit","crop_40.fit","Green R","Blue",29.3523424135508
"288",4,"crop_37.fit","crop_40.fit","Green B","Blue",-77.6166739216764
"289",4,"crop_37.fit","crop_41.fit","Red","Green R",16.7960215817449
"290",4,"crop_37.fit","crop_41.fit","Red","Green B",-35.5841247021628
"291",4,"crop_37.fit","crop_41.fit","Red","Blue",14.1722873900293
"292",4,"crop_37.fit","crop_41.fit","Green R","Green B",-6.45353261699658
"293",4,"crop_37.fit","crop_41.fit","Green R","Blue",71.3267350928641
"294",4,"crop_37.fit","crop_41.fit","Green B","Blue",45.0040322580645
"295",4,"crop_37.fit","crop_42.fit","Red","Green R",9.90001832844575
"296",4,"crop_37.fit","crop_42.fit","Red","Green B",6.10909530028104
"297",4,"crop_37.fit","crop_42.fit","Red","Blue",42.1600125817143
"298",4,"crop_37.fit","crop_42.fit","Green R","Green B",47.9337121212121
"299",4,"crop_37.fit","crop_42.fit","Green R","Blue",-22.8931146138807
"300",4,"crop_37.fit","crop_42.fit","Green B","Blue",-18.7547205293866
"301",4,"crop_38.fit","crop_39.fit","Red","Green R",34.081363980022
"302",4,"crop_38.fit","crop_39.fit","Red","Green B",9.83576280700147
"303",4,"crop_38.fit","crop_39.fit","Red","Blue",50.1106188523338
"304",4,"crop_38.fit","crop_39.fit","Green R","Green B",-9.02359453277737
"305",4,"crop_38.fit","crop_39.fit","Green R","Blue",24.8713042407441
"306",4,"crop_38.fit","crop_39.fit","Green B","Blue",48.1734792163062
"307",4,"crop_38.fit","crop_40.fit","Red","Green R",20.7643133706012
"308",4,"crop_38.fit","crop_40.fit","Red","Green B",-11.8616546004399
"309",4,"crop_38.fit","crop_40.fit","Red","Blue",47.1015157242791
"310",4,"crop_38.fit","crop_40.fit","Green R","Green B",19.7458493707234
"311",4,"crop_38.fit","crop_40.fit","Green R","Blue",49.2940197718109
"312",4,"crop_38.fit","crop_40.fit","Green B","Blue",-74.9876913031525
"313",4,"crop_38.fit","crop_41.fit","Red","Green R",12.5999625794233
"314",4,"crop_38.fit","crop_41.fit","Red","Green B",41.7366794202102
"315",4,"crop_38.fit","crop_41.fit","Red","Blue",20.6259813355327
"316",4,"crop_38.fit","crop_41.fit","Green R","Green B",8.64485104319404
"317",4,"crop_38.fit","crop_41.fit","Green R","Blue",13.7066933192815
"318",4,"crop_38.fit","crop_41.fit","Green B","Blue",-44.5841800693426
"319",4,"crop_38.fit","crop_42.fit","Red","Green R",66.493193655303
"320",4,"crop_38.fit","crop_42.fit","Red","Green B",-12.3899252733993
"321",4,"crop_38.fit","crop_42.fit","Red","Blue",19.5993473355022
"322",4,"crop_38.fit","crop_42.fit","Green R","Green B",-31.4787962793255
"323",4,"crop_38.fit","crop_42.fit","Green R","Blue",-47.9438023124389
"324",4,"crop_38.fit","crop_42.fit","Green B","Blue",-20.7601369669477
"325",4,"crop_39.fit","crop_40.fit","Red","Green R",1.22808414283969
"326",4,"crop_39.fit","crop_40.fit","Red","Green B",-24.5055615377566
"327",4,"crop_39.fit","crop_40.fit","Red","Blue",-28.5316967558651
"328",4,"crop_39.fit","crop_40.fit","Green R","Green B",-85.3602718528531
"329",4,"crop_39.fit","crop_40.fit","Green R","Blue",34.4276532334433
"330",4,"crop_39.fit","crop_40.fit","Green B","Blue",-17.4793012661901
"331",4,"crop_39.fit","crop_41.fit","Red","Green R",-11.2245339610826
"332",4,"crop_39.fit","crop_41.fit","Red","Green B",33.5252226142473
"333",4,"crop_39.fit","crop_41.fit","Red","Blue",9.85465065218719
"334",4,"crop_39.fit","crop_41.fit","Green R","Green B",-121.736619279998
"335",4,"crop_39.fit","crop_41.fit","Green R","Blue",21.3814307070198
"336",4,"crop_39.fit","crop_41.fit","Green B","Blue",45.8536005849829
"337",4,"crop_39.fit","crop_42.fit","Red","Green R",39.375265857924
"338",4,"crop_39.fit","crop_42.fit","Red","Green B",13.2236982030486
"339",4,"crop_39.fit","crop_42.fit","Red","Blue",23.5242088220919
"340",4,"crop_39.fit","crop_42.fit","Green R","Green B",44.4644681123228
"341",4,"crop_39.fit","crop_42.fit","Green R","Blue",3.69933712121212
"342",4,"crop_39.fit","crop_42.fit","Green B","Blue",24.5771169354839
"343",4,"crop_40.fit","crop_41.fit","Red","Green R",6.42286779081134
"344",4,"crop_40.fit","crop_41.fit","Red","Green B",21.1471821923876
"345",4,"crop_40.fit","crop_41.fit","Red","Blue",21.0510246746701
"346",4,"crop_40.fit","crop_41.fit","Green R","Green B",-103.069999389052
"347",4,"crop_40.fit","crop_41.fit","Green R","Blue",8.38891434506354
"348",4,"crop_40.fit","crop_41.fit","Green B","Blue",-86.4669090412695
"349",4,"crop_40.fit","crop_42.fit","Red","Green R",-16.3560443777493
"350",4,"crop_40.fit","crop_42.fit","Red","Green B",40.7298702116936
"351",4,"crop_40.fit","crop_42.fit","Red","Blue",8.17842264632209
"352",4,"crop_40.fit","crop_42.fit","Green R","Green B",-44.1119887127322
"353",4,"crop_40.fit","crop_42.fit","Green R","Blue",22.6365564668866
"354",4,"crop_40.fit","crop_42.fit","Green B","Blue",-19.0741901118035
"355",4,"crop_41.fit","crop_42.fit","Red","Green R",12.3469030654326
"356",4,"crop_41.fit","crop_42.fit","Red","Green B",29.6529351287573
"357",4,"crop_41.fit","crop_42.fit","Red","Blue",5.9206344887891
"358",4,"crop_41.fit","crop_42.fit","Green R","Green B",-53.4560966901882
"359",4,"crop_41.fit","crop_42.fit","Green R","Blue",37.7472364140396
"360",4,"crop_41.fit","crop_42.fit","Green B","Blue",44.2752135454851
"361",5,"crop_97.fit","crop_98.fit","Red","Green R",5.31244940585288
"362",5,"crop_97.fit","crop_98.fit","Red","Green B",4.45428866538368
"363",5,"crop_97.fit","crop_98.fit","Red","Blue",3.6513710059262
"364",5,"crop_97.fit","crop_98.fit","Green R","Green B",-4.54748642549487
"365",5,"crop_97.fit","crop_98.fit","Green R","Blue",1.72885212380865
"366",5,"crop_97.fit","crop_98.fit","Green B","Blue",-0.757481728830645
"367",5,"crop_97.fit","crop_99.fit","Red","Green R",3.71981725012219
