src,dest
0,0
0.015873017,0.012497952
0.031746034,0.041119907
0.047619049,0.084077768
0.063492067,0.132617876
0.079365082,0.181415364
0.095238097,0.22889556
0.111111112,0.274261862
0.126984134,0.315314054
0.142857149,0.351717055
0.158730164,0.384527683
0.174603179,0.414565831
0.190476194,0.442448765
0.206349209,0.468637764
0.222222224,0.493476778
0.238095239,0.517222703
0.253968269,0.540067971
0.269841284,0.562157571
0.285714298,0.583599687
0.301587313,0.604475021
0.317460328,0.624843478
0.333333343,0.644749165
0.349206358,0.664224327
0.365079373,0.683292031
0.380952388,0.701953769
0.396825403,0.720114172
0.412698418,0.737665594
0.428571433,0.75453043
0.444444448,0.770655692
0.460317463,0.786008
0.476190478,0.800569713
0.492063493,0.814335883
0.507936537,0.827311337
0.523809552,0.83950901
0.539682567,0.850947618
0.555555582,0.861650586
0.571428597,0.871648788
0.587301612,0.880997241
0.603174627,0.889753997
0.619047642,0.897970021
0.634920657,0.905690253
0.650793672,0.912954032
0.666666687,0.919796348
0.682539701,0.926247895
0.698412716,0.932335913
0.714285731,0.938084543
0.730158746,0.943515301
0.746031761,0.948647201
0.761904776,0.95349735
0.777777791,0.958080947
0.793650806,0.962411582
0.809523821,0.966501653
0.825396836,0.970362186
0.841269851,0.974003196
0.857142866,0.977433681
0.873015881,0.980662048
0.888888896,0.983695745
0.90476191,0.986541748
0.920634925,0.989206314
0.93650794,0.991695464
0.952380955,0.994014502
0.96825397,0.996168494
0.984126985,0.99816221
1,1
