304	738	311	718	323	702	329	738	315	704	305	692	323	757	322	733	322	710	309	714	339	724	310	739	307	696	296	732	314	728	324	742
729	568	730	545	722	604	734	599	699	611	750	593	741	588	724	586	745	584	720	586	729	594	723	589	719	573	716	584	711	595	749	597
308	721	318	702	331	690	324	756	314	720	321	725	321	700	329	714	309	700	311	719	319	705	349	710	320	706	322	713	305	752	335	716
744	543	720	614	729	586	711	617	722	608	735	589	704	591	754	573	727	613	722	587	726	589	714	584	749	601	712	610	721	600	719	552
315	698	304	726	324	727	286	687	319	684	322	737	328	749	290	736	311	739	294	688	301	726	321	703	330	739	336	746	312	733	289	706
741	601	731	601	715	570	732	610	703	568	748	572	713	626	736	608	714	603	720	632	744	580	746	599	727	581	719	581	732	599	735	582
335	717	330	763	333	742	329	725	301	723	294	712	345	712	326	736	333	739	308	723	307	760	304	744	311	740	317	716	313	729	321	757
735	610	739	588	712	596	716	592	757	592	693	582	747	602	704	606	733	578	757	589	733	586	744	592	733	602	716	584	715	584	729	577
302	747	332	712	300	712	329	739	321	721	324	735	302	706	308	719	330	732	308	711	313	726	332	711	292	725	328	715	323	715	331	731
739	596	728	571	706	601	740	604	722	599	762	575	699	571	722	596	714	580	734	581	753	600	735	585	754	596	731	577	715	572	761	630
320	730	323	768	315	747	309	712	330	712	331	743	276	703	328	744	320	743	322	694	326	718	302	697	314	711	323	717	329	718	313	707
717	587	752	582	718	618	736	570	726	577	704	586	716	608	723	606	713	620	754	600	737	571	716	588	726	606	700	579	699	602	736	609
324	709	300	711	321	752	291	735	314	722	307	695	315	696	312	723	293	728	322	711	318	725	337	740	335	713	330	733	321	702	310	742
706	577	730	589	739	591	751	542	729	573	731	602	707	595	730	601	718	615	723	596	716	571	706	587	724	580	734	586	728	606	687	586
324	744	315	768	312	759	312	706	314	721	295	718	332	724	305	694	310	723	317	714	321	706	327	724	331	712	335	713	318	696	315	697
723	597	724	588	719	614	717	577	732	579	718	580	721	562	753	609	722	595	727	582	774	607	712	580	717	599	716	563	752	600	709	593
329	740	319	736	321	721	314	710	328	747	331	714	329	722	310	697	302	741	320	725	320	700	320	691	312	743	313	717	320	752	321	724
704	546	737	552	704	580	747	615	761	594	686	638	701	614	726	574	741	596	716	588	719	589	715	607	705	565	714	582	737	559	726	596
324	743	313	717	335	737	321	730	320	737	323	730	318	746	321	711	314	732	315	729	319	729	275	700	331	752	317	734	312	721	329	739
761	586	706	566	748	582	727	579	732	600	753	603	729	586	703	594	710	560	727	582	712	584	744	585	739	594	756	614	708	566	746	563
350	733	328	708	317	732	329	706	303	714	315	704	304	721	329	756	305	726	309	723	330	721	336	714	315	704	299	721	318	714	337	691
714	573	747	614	746	597	732	589	738	597	713	599	743	587	710	591	738	595	718	578	713	586	746	620	728	597	723	580	707	578	753	577
328	686	331	726	337	742	320	693	318	749	312	710	332	729	320	733	332	725	313	724	298	724	315	741	313	729	304	713	308	743	313	724
716	618	718	601	721	585	719	591	712	600	731	615	722	560	726	616	736	592	719	582	719	593	716	600	722	597	736	581	741	551	726	582
328	727	326	705	327	710	309	749	323	723	308	725	318	744	322	725	320	746	328	711	318	720	294	709	300	695	314	717	313	715	303	728
718	602	722	602	736	595	743	613	749	566	724	577	727	584	716	565	756	591	760	571	713	606	695	572	726	600	715	579	748	595	740	604
336	711	308	756	317	739	320	746	322	728	337	747	329	745	328	734	303	768	291	727	311	720	342	726	328	742	320	724	321	725	317	736
719	574	720	600	739	567	744	582	730	555	730	588	736	580	728	579	714	577	700	597	735	613	725	600	715	563	730	584	723	600	737	617
313	698	319	726	326	758	317	737	321	726	295	696	318	722	315	724	327	716	328	739	315	720	326	722	313	710	318	745	327	691	324	722
738	591	685	587	694	600	738	593	716	588	720	582	728	557	734	613	740	581	760	579	745	597	737	603	736	596	733	563	714	594	756	606
339	726	329	730	327	699	320	741	339	731	328	721	308	708	301	695	333	719	349	723	318	691	304	727	307	708	305	727	321	718	313	737
710	614	748	572	708	581	732	585	727	556	712	617	702	574	728	584	732	595	704	606	744	578	715	631	705	586	708	615	695	607	708	594
